name,phone_number,mail,prefecture,city,block,building_name,url,SSL
伊達のいろり焼 蔵の庄 総本店 （仙台駅前）,050-5485-6573,,宮城県,仙台市青葉区中央,1-8-38,AKビル4F,https://r.gnavi.co.jp/t021209/,TRUE
北千住 千寿籠太,050-5486-3598,,東京都,足立区千住旭町,41-4,,https://r.gnavi.co.jp/g123303/,TRUE
創作ダイニング ラ・ベランダ アパホテル＆リゾート 東京ベイ潮見,050-5488-8826,,東京都,江東区潮見,2-8-6,,https://r.gnavi.co.jp/nm1a9wu40000/,TRUE
矢の根寿司 日本橋本店,050-5486-0434,,東京都,中央区日本橋室町,3-3-9,1F,https://r.gnavi.co.jp/fsgyhgyb0000/,TRUE
全席個室 楽蔵‐RAKUZO‐ 広島中央通り店,050-5485-7619,,広島県,広島市中区堀川町,4-11,アサヒビール館6F,https://r.gnavi.co.jp/y016413/,TRUE
人形町 多良々,050-5487-1666,,東京都,中央区日本橋人形町,2-25-3,,https://r.gnavi.co.jp/sr3pwkse0000/,TRUE
鉄板焼 TSUKINOUSAGI,050-5486-9174,,栃木県,宇都宮市鶴田,2-14-6,,https://r.gnavi.co.jp/gdy1r6vf0000/,TRUE
金澤玉寿司 せせらぎ通り店,050-5486-6310,,石川県,金沢市香林坊,2-1-1,,https://r.gnavi.co.jp/p45zd4jw0000/,TRUE
薪窯PIZZA・Cafe NORTHGARDEN 箕面店,050-5486-0833,,大阪府,箕面市今宮,1-1-1,ABCハウジングウェルビーみのお カフェ棟,https://r.gnavi.co.jp/2d8ezdk80000/,TRUE
全席個室 湊一や 日本橋八重洲店,050-5485-4716,,東京都,中央区日本橋,2-3-4,日本橋プラザビル2F,https://r.gnavi.co.jp/g493516/,TRUE
名物“蓮根料理” 上野 れんこん,050-5484-7887,,東京都,台東区上野,4-9-1,,https://r.gnavi.co.jp/g473200/,TRUE
Fiorita～フィオリータ～,050-3593-2016,,新潟県,新潟市中央区米山,1-7-1,C＆Dビル2F,https://r.gnavi.co.jp/c0ep03m70000/,TRUE
山陰海鮮 炉端かば 松江駅前店,050-5488-3317,,島根県,松江市御手船場町,564-2,,https://r.gnavi.co.jp/dpcyys3g0000/,TRUE
寿司居酒屋 海福 本店,050-5486-3663,,神奈川県,鎌倉市大船,1-23-22,第3千里ビル1～3F,https://r.gnavi.co.jp/3744ashh0000/,TRUE
夢の家 本店,050-5486-9937,,愛媛県,松山市二番町,3-3-1,ビリケンビル1F,https://r.gnavi.co.jp/83v3khus0000/,TRUE
炭火焼肉 泉味亭,050-5486-0658,,北海道,函館市鍛治,1-49-6,,https://r.gnavi.co.jp/h406900/,TRUE
旨いもん処 大衆すし居酒屋 金山寿司,050-5487-7486,,愛知県,名古屋市中区金山,2-16-18,MKビル1F,https://r.gnavi.co.jp/ny482uu70000/,TRUE
駅前ワイン食堂 BIBI,050-5487-7324,,佐賀県,佐賀市駅南本町,6-7,1F,https://r.gnavi.co.jp/as4741n90000/,TRUE
はや＆魚太郎 泉州の郷,050-5485-1809,,大阪府,泉佐野市上瓦屋,886,,https://r.gnavi.co.jp/e9stapvm0000/,TRUE
個室空間 湯葉豆腐料理 千年の宴 海老名東口駅前店,046-233-1188,,神奈川県,海老名市中央,3-1-3,ホテルビスタ海老名2F,https://r.gnavi.co.jp/e587971/,TRUE
焼鳥 ダルム屋,0942-36-2526,,福岡県,久留米市六ツ門町,11-6,,https://r.gnavi.co.jp/78fx930d0000/,TRUE
キリン ビアポート仙台,050-5492-0230,,宮城県,仙台市宮城野区港,2-2-1,キリンビール仙台工場,https://r.gnavi.co.jp/t021220/,TRUE
こきゅう 別邸,050-5488-0634,,広島県,広島市中区立町,1-8,樹里絵ビル2F,https://r.gnavi.co.jp/bab4cv7g0000/,TRUE
しゃぶしゃぶ 日本料理 木曽路 守口店,050-5485-4802,,大阪府,守口市佐太中町,4-2-14,,https://r.gnavi.co.jp/k040843/,TRUE
梅の花 新百合丘店,050-5485-0555,,神奈川県,川崎市麻生区上麻生,1-1-1,ホテルモリノ7F,https://r.gnavi.co.jp/g083300/,TRUE
炭火焼鳥・完全個室 鳥のや 總本店,050-5485-3951,,茨城県,つくば市研究学園,5-14-10,フロンティア・コンフォート1F,https://r.gnavi.co.jp/m1xyj3x60000/,TRUE
個室居酒屋 八吉 八重洲仲通り本店,03-3272-8816,,東京都,中央区日本橋,3-4-1,第二弥生ビル,https://r.gnavi.co.jp/g243616/,TRUE
個室会席 赤坂ながとも,050-5485-4910,,東京都,港区赤坂,4-2-3,ディアシティ赤坂一ツ木館104,https://r.gnavi.co.jp/enzs30vg0000/,TRUE
しゃぶしゃぶ 日本料理 木曽路 高槻店,050-5485-4786,,大阪府,高槻市春日町,16-1,,https://r.gnavi.co.jp/k040842/,TRUE
かに道楽 松原店,050-5489-0280,,大阪府,松原市丹南,3-2-12,,https://r.gnavi.co.jp/6g5zgyw20000/,TRUE
琉炭,050-5484-4304,,沖縄県,那覇市久茂地,1-2-1,Y’sビル1B,https://r.gnavi.co.jp/shj3fadr0000/,TRUE
天ぷら 川原崎,050-5492-6549,,大阪府,大阪市北区西天満,3-1-5,1F,https://r.gnavi.co.jp/ev6gt0uj0000/,TRUE
東京ベイ東急ホテル コーラル テーブル,050-5487-6470,,千葉県,浦安市日の出,7-2-3,,https://r.gnavi.co.jp/1a6hrkzs0000/,TRUE
